"Q22_6","Q24_1","Q25_1","Q26_1","Q27_1","Q28_1","Q29_1","Q30_1","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q1_7","Q1_8","Q1_9","Q1_10","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q4_1","Q4_2","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q31_1","Q32_1","Q33_1","Q34_1","Q39_1","Q40_1","Q41_1","Q42_1","Q43_2","Q44_1","Q46_1","Q53_1","Q53_2","Q48","Q54_1","Q54_2","Q54_3","Q54_4","Q54_5","Q54_6","Q54_7","Q54_8","Q54_9","Q54_10","Q54_11","Q54_12","Q55","Q56","Q57","Q57_11_TEXT","Q57_12_TEXT","Q58","Q37","Q51","Q59","Q38","survey_administered","survey_duration_num"
"Less damaging to the environment","Less nutritious","More variable in nutritional content","Much lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","","Much more ethical","Negative","Positive","Negative","Positive","Neither positive nor negative","Positive","Very negative","Positive","Positive","Positive","Very uncomfortable","Comfortable","Very uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Very uncomfortable","Comfortable","Comfortable","Very uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Very dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","","Agree","Neither agree nor disagree","Agree","Agree","Totally agree","","Agree","Agree","Agree","Totally agree","Totally agree","","","","","","","","","","","","Definitely not","Definitely not","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Important","Very Important","Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",12
"Neither more nor less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Costs the same","A lower disease risk","Has higher microbiological safety","Has lower chemical safety","More ethical","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Positive","Neither positive nor negative","Negative","Positive","Negative","Positive","Comfortable","Comfortable","Comfortable","Very uncomfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Satisfied","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Agree","Neither agree nor disagree","Totally agree","Totally agree","Totally agree","Agree","Totally agree","Disagree","Disagree","Totally agree","Disagree","Agree","Neither faster nor slower growth rates","Higher feed conversion ratios (less efficient)","Higher welfare","Higher feed costs","Better for the environment","Much more fatty","Neither lighter nor darker in colour","More tasty","Worse smelling","Neither more nor less marketable","More profitable","Probably yes","Probably not","Might or might not","Neither important nor unimportant","Very Important","Not at all important","Important","Very Important","Neither important nor unimportant","Very Important","Not important","Very Important","Not important","Important","Very Important","Male","31-50","Agricultural advisor","","","","","","","","electronic",28
"More damaging to the environment","More nutritious","More variable in nutritional content","Higher cost","A lower disease risk","Has higher microbiological safety","Has higher chemical safety","Neither more or less ethical","Negative","Positive","Negative","Negative","Negative","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","","","Agree","Agree","Disagree","Slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","Neither more nor less tasty","","Neither more nor less marketable","More profitable","Definitely yes","Not sure","Probably yes","Very Important","Very Important","Very Important","Important","Very Important","Important","Important","Important","Very Important","Important","Important","Important","Female","0-18","Student","","","","","","","","electronic",13
"Neither more nor less damaging to the environment","Less nutritious","Much less variable in nutritional content","Much lower cost","A higher disease risk","Has much lower microbiological safety","Has lower chemical safety","Less ethical","Very negative","Neither positive nor negative","Very negative","Neither positive nor negative","Neither positive nor negative","Very negative","Neither positive nor negative","Neither positive nor negative","Very negative","Neither positive nor negative","Uncomfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Uncomfortable","Comfortable","Very uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Totally disagree","Totally disagree","Totally agree","Totally agree","Totally agree","Totally agree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Much lower feed costs","Neither better nor worse for the environment","More fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","Much more profitable","Definitely yes","Probably yes","Definitely yes","Neither important nor unimportant","Important","Neither important nor unimportant","Neither important nor unimportant","Neither important nor unimportant","Important","Important","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Important","Male","0-18","Pig farmer/pig farm manager","","","5000+","No","Probably yes","Dry feeding","Not sure","electronic",13
"","Much more nutritious","More variable in nutritional content","Much higher cost","","","Has higher chemical safety","Much more ethical","Positive","Very positive","Very negative","Very negative","Very negative","Very positive","Very negative","Very negative","Very negative","Positive","Very comfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very comfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very satisfied","Very satisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very dissatisfied","","","","Neither agree nor disagree","Neither agree nor disagree","Totally disagree","","","Totally disagree","Totally agree","Neither agree nor disagree","Totally disagree","","","Much lower welfare","","Worse for the environment","","Much lighter in colour","","","Much less marketable","","Definitely not","Definitely yes","Might or might not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Important","Very Important","Important","Neither important nor unimportant","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",19
"Less damaging to the environment","","","Lower cost","A much higher disease risk","","Has lower chemical safety","Neither more or less ethical","Neither positive nor negative","Positive","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Positive","Negative","Negative","Neither positive nor negative","Neither positive nor negative","Comfortable","Very comfortable","Neither comfortable nor uncomfortable","Uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","","Agree","Agree","Agree","Agree","Neither agree nor disagree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Much lower feed costs","Better for the environment","Less fatty","","Neither more nor less tasty","","Neither more nor less marketable","More profitable","Probably yes","Probably not","Probably yes","Important","Very Important","Important","Very Important","Very Important","Important","Important","Important","Important","Important","Neither important nor unimportant","Important","Male","50+","Trader","","","","","","","","electronic",51
"Much less damaging to the environment","Less nutritious","Much more variable in nutritional content","Much lower cost","A much higher disease risk","Neither higher nor lower microbiological safety","Neither higher nor lower chemical safety","Less ethical","Negative","Positive","Negative","Very positive","Positive","Positive","Very negative","Positive","Very positive","Positive","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Uncomfortable","Very comfortable","Very comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Uncomfortable","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Dissatisfied","Agree","Totally agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely not","Definitely not","Might or might not","Neither important nor unimportant","Neither important nor unimportant","Neither important nor unimportant","Very Important","Important","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Important","Important","Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Probably not","Dry feeding","No","electronic",18
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A lower disease risk","Has lower microbiological safety","Has lower chemical safety","Neither more or less ethical","Positive","Positive","Positive","Negative","Neither positive nor negative","Positive","Negative","Negative","Positive","Neither positive nor negative","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Much faster growth rates","","","Lower feed costs","Better for the environment","Less fatty","","","","Less marketable","","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Not important","Important","Female","31-50","Retailer","","","","","","","","electronic",20
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","More ethical","Neither positive nor negative","Positive","Neither positive nor negative","Positive","Very negative","Positive","Very negative","Positive","Positive","Neither positive nor negative","Neither comfortable nor uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Very comfortable","Uncomfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Agree","Totally agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Neither higher nor lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","Neither more nor less profitable","Probably yes","Probably not","Probably yes","Important","Important","Very Important","Important","Very Important","Important","Important","Important","Important","Important","Important","Important","Male","31-50","Other: involved in the animal industry","Researcher","","","","","","","electronic",18
"Much less damaging to the environment","Much more nutritious","Much more variable in nutritional content","Costs the same","Neither a higher nor lower disease risk","Has higher microbiological safety","Has much lower chemical safety","Much more ethical","Positive","Very positive","Positive","Positive","Neither positive nor negative","Very positive","Positive","Positive","Very positive","Positive","Comfortable","Very comfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Very comfortable","Comfortable","Comfortable","Very comfortable","Comfortable","Satisfied","Very satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Very satisfied","Satisfied","Satisfied","Very satisfied","Satisfied","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Disagree","Neither agree nor disagree","","Neither agree nor disagree","Disagree","Totally agree","Disagree","Much faster growth rates","Much lower feed conversion ratios (more efficient)","Much higher welfare","Lower feed costs","Much better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Much more tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Not important","Important","Important","Very Important","Very Important","Important","Important","Important","Important","Important","Important","Very Important","Male","50+","Other: involved in the animal industry","VET PHARMA STAFF","","","","","","","electronic",17
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A lower disease risk","Has higher microbiological safety","Has lower chemical safety","More ethical","Positive","Neither positive nor negative","Negative","Positive","Neither positive nor negative","Positive","Positive","Neither positive nor negative","Neither positive nor negative","Positive","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Neither comfortable nor uncomfortable","Uncomfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Uncomfortable","Neither comfortable nor uncomfortable","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither agree nor disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Totally disagree","Faster growth rates","Lower feed conversion ratios (more efficient)","Higher welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Important","Important","Important","Neither important nor unimportant","Important","Important","Important","Neither important nor unimportant","Important","Important","Very Important","Very Important","Male","50+","Pig farmer/pig farm manager","","","200-399","Yes","Absolutely","Wet feeding","No","electronic",19
"Less damaging to the environment","More nutritious","Neither more or less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","More ethical","Positive","Very positive","Neither positive nor negative","Neither positive nor negative","Positive","Very positive","Negative","Neither positive nor negative","Positive","Positive","Neither comfortable nor uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Uncomfortable","Comfortable","Very comfortable","Uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Important","Important","Important","Very Important","Very Important","Important","Very Important","Very Important","Important","Very Important","Important","Important","Female","31-50","Pig farmer/pig farm manager","","","200-399","No","Probably not","Dry feeding","No","electronic",14
"Less damaging to the environment","Less nutritious","Less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","Has lower chemical safety","Much more ethical","Very negative","Very positive","Very negative","Positive","Very negative","Very positive","Very negative","Negative","Positive","Very negative","Very uncomfortable","Very comfortable","Very uncomfortable","Comfortable","Very uncomfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Dissatisfied","Very satisfied","Dissatisfied","Satisfied","Dissatisfied","Very satisfied","Dissatisfied","Dissatisfied","Very satisfied","Dissatisfied","Neither agree nor disagree","Agree","Agree","Agree","","Neither agree nor disagree","Neither agree nor disagree","","Neither agree nor disagree","Disagree","Agree","Disagree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Darker in colour","More tasty","Neither better nor worse smelling","Neither more nor less marketable","","Definitely yes","Probably not","Definitely yes","Important","Neither important nor unimportant","Important","Important","Important","Neither important nor unimportant","Neither important nor unimportant","Important","Important","Important","Important","Important","Male","19-30","Pig farmer/pig farm manager","","","100-199","No","Probably yes","Dry feeding","No","electronic",14
"","Less nutritious","More variable in nutritional content","","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","Less ethical","Very negative","Positive","Very negative","Very negative","Very negative","Positive","Very negative","Very negative","Very negative","Very negative","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Agree","Disagree","","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","","","Higher welfare","Higher feed costs","Worse for the environment","More fatty","","","Worse smelling","Less marketable","More profitable","Probably not","Definitely yes","Definitely not","Very Important","Very Important","Important","Important","Important","Very Important","Important","Important","Important","Important","Very Important","Important","Male","50+","Trader","","","","","","","","electronic",15
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Positive","Very positive","Positive","Positive","Negative","Very positive","Negative","Neither positive nor negative","Very positive","Positive","Comfortable","Very comfortable","Comfortable","Comfortable","Comfortable","Very comfortable","Uncomfortable","Uncomfortable","Very comfortable","Comfortable","Satisfied","Very satisfied","Satisfied","Satisfied","Satisfied","Very satisfied","Satisfied","Satisfied","Very satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Faster growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","","","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Very Important","Very Important","Important","Very Important","Important","Very Important","Very Important","Important","Important","Important","Male","0-18","Pig farmer/pig farm manager","","","Oct-99","No","Absolutely","Dry feeding","No","electronic",11
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has higher microbiological safety","Has lower chemical safety","More ethical","Positive","Very positive","Positive","Neither positive nor negative","Neither positive nor negative","Very positive","Negative","Positive","Positive","Neither positive nor negative","Uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Totally agree","Agree","","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Important","Important","Very Important","Important","Important","Neither important nor unimportant","Neither important nor unimportant","Very Important","Neither important nor unimportant","Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",18
"Much less damaging to the environment","Less nutritious","More variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has much higher microbiological safety","","Much more ethical","Positive","Very positive","Very positive","Very positive","Neither positive nor negative","Very positive","Negative","Negative","Very positive","Very positive","Very comfortable","Very comfortable","Comfortable","Very comfortable","Uncomfortable","Very comfortable","Uncomfortable","Uncomfortable","Very comfortable","Very comfortable","Satisfied","Dissatisfied","Very satisfied","Very satisfied","Dissatisfied","Very satisfied","Dissatisfied","Dissatisfied","Very satisfied","Very satisfied","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally disagree","","Agree","Disagree","Agree","Totally agree","Disagree","","","","Lower feed costs","Much better for the environment","","","","","Neither more nor less marketable","","Probably yes","Probably not","Definitely yes","Very Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Neither important nor unimportant","Very Important","Very Important","Important","Important","Female","50+","Other: NOT involved in the animal industry","","","","","","","","electronic",20
"Neither more nor less damaging to the environment","Less nutritious","More variable in nutritional content","Lower cost","A much higher disease risk","Has lower microbiological safety","Has lower chemical safety","Less ethical","Negative","Positive","Negative","Neither positive nor negative","Negative","Positive","Very negative","Neither positive nor negative","Positive","Negative","Uncomfortable","Very comfortable","Uncomfortable","Neither comfortable nor uncomfortable","Very uncomfortable","Very comfortable","Very uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Neither higher nor lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","Neither more nor less profitable","Probably yes","Probably not","Might or might not","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Important","Important","Male","31-50","Pig farmer/pig farm manager","","","1000-4999","No","Might or might not","Dry feeding","No","electronic",27
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","Less ethical","Neither positive nor negative","Positive","Neither positive nor negative","Positive","Negative","Very positive","Negative","Neither positive nor negative","Very positive","Neither positive nor negative","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Very comfortable","Uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Very satisfied","Dissatisfied","Satisfied","Very satisfied","Neither satisfied nor dissatisfied","Agree","Totally agree","Totally agree","Totally agree","Agree","","Disagree","Disagree","Disagree","Agree","Totally agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","","More profitable","Probably yes","Definitely not","Probably yes","Important","Important","Important","Important","Important","Very Important","Important","Important","Neither important nor unimportant","Important","Important","Important","Male","31-50","Pig farmer/pig farm manager","","","5000+","No","Might or might not","Wet feeding","Yes","electronic",32
"Much less damaging to the environment","","Much more variable in nutritional content","Lower cost","A lower disease risk","Has higher microbiological safety","Has lower chemical safety","","Positive","Positive","Positive","Negative","Negative","Positive","Positive","Negative","Negative","Positive","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","","Disagree","Disagree","Agree","Agree","Faster growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","","More tasty","Worse smelling","More marketable","More profitable","Definitely yes","Definitely yes","Definitely yes","Important","Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Important","Very Important","Important","Male","31-50","Poultry farmer/poultry farm manager","","","","","","","","electronic",16
"Less damaging to the environment","More nutritious","More variable in nutritional content","Costs the same","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","More ethical","Negative","Positive","Negative","Positive","Positive","Positive","Negative","Positive","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Totally agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Darker in colour","More tasty","Neither better nor worse smelling","More marketable","Neither more nor less profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Important","Very Important","Very Important","Important","Important","Important","Important","Important","Important","Important","Male","50+","Pig farmer/pig farm manager","","","1000-4999","No","Probably yes","Dry feeding","No","electronic",19
"Less damaging to the environment","More nutritious","Less variable in nutritional content","","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Negative","Positive","Negative","Negative","Negative","Positive","Positive","Negative","Positive","Positive","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Slower growth rates","Lower feed conversion ratios (more efficient)","Lower welfare","Lower feed costs","Better for the environment","More fatty","","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Probably yes","Probably not","Definitely yes","Important","Important","Important","Not important","Important","Important","Important","Important","Important","Important","Important","Important","Male","50+","Pig farmer/pig farm manager","","","1000-4999","No","Definitely not","Dry feeding","No","electronic",23
"More damaging to the environment","More nutritious","Much more variable in nutritional content","Lower cost","A much lower disease risk","Has much lower microbiological safety","Has much lower chemical safety","Much more ethical","Positive","Positive","Positive","Positive","Very negative","Very positive","Very negative","Very positive","Neither positive nor negative","Very positive","Comfortable","Uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Very uncomfortable","Very comfortable","Very uncomfortable","Uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Very dissatisfied","Satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Neither agree nor disagree","Neither agree nor disagree","Totally disagree","Neither agree nor disagree","Neither agree nor disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally disagree","Totally agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Much lower welfare","Neither higher nor lower feed costs","Much worse for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Less tasty","Neither better nor worse smelling","Much less marketable","More profitable","Definitely not","Definitely yes","Definitely not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Very Important","Very Important","Neither important nor unimportant","Neither important nor unimportant","Male","31-50","Pig farmer/pig farm manager","","","9-Jan","No","Definitely not","Dry feeding","No","electronic",16
